,Filename,Camera View,Activity Type,Start Time,End Time,Label/Class ID,Appearance Block
56306,Rightside_window_user_id_56306_3,Rightside_window,Distracted Behavior,0:00,0:09,NA,Glass
,,Rightside_window,Distracted Behavior,0:10,0:33,3,Glass
,,Rightside_window,Distracted Behavior,0:43,0:58,17,Glass
,,Rightside_window,Distracted Behavior,1:08,1:26,12,Glass
,,Rightside_window,Distracted Behavior,1:36,2:01,4,Glass
,,Rightside_window,Distracted Behavior,2:07,2:34,9,Glass
,,Rightside_window,Distracted Behavior,2:44,3:10,0,Glass
,,Rightside_window,Distracted Behavior,3:16,3:36,2,Glass
,,Rightside_window,Distracted Behavior,3:45,4:04,14,Glass
,,Rightside_window,Distracted Behavior,4:13,4:39,7,Glass
,,Rightside_window,Distracted Behavior,4:47,5:08,11,Glass
,,Rightside_window,Distracted Behavior,5:16,5:36,8,Glass
,,Rightside_window,Distracted Behavior,5:44,6:05,1,Glass
,,Rightside_window,Distracted Behavior,6:15,6:35,16,Glass
,,Rightside_window,Distracted Behavior,6:44,7:04,6,Glass
,,Rightside_window,Distracted Behavior,7:10,7:27,10,Glass
,,Rightside_window,Distracted Behavior,7:35,7:59,13,Glass
,,Rightside_window,Distracted Behavior,8:06,8:28,5,Glass
,,Rightside_window,Distracted Behavior,8:34,8:53,15,Glass
,Rightside_window_user_id_56306_2,Rightside_window,Distracted Behavior,0:00,0:07,NA,No
,,Rightside_window,Distracted Behavior,0:12,0:39,3,No
,,Rightside_window,Distracted Behavior,0:46,1:03,17,No
,,Rightside_window,Distracted Behavior,1:06,1:32,12,No
,,Rightside_window,Distracted Behavior,1:39,2:05,4,No
,,Rightside_window,Distracted Behavior,2:13,2:35,9,No
,,Rightside_window,Distracted Behavior,2:40,3:12,0,No
,,Rightside_window,Distracted Behavior,3:18,3:40,2,No
,,Rightside_window,Distracted Behavior,3:48,4:06,14,No
,,Rightside_window,Distracted Behavior,4:17,4:41,7,No
,,Rightside_window,Distracted Behavior,4:50,5:12,11,No
,,Rightside_window,Distracted Behavior,5:18,5:39,8,No
,,Rightside_window,Distracted Behavior,5:48,6:10,1,No
,,Rightside_window,Distracted Behavior,6:16,6:38,16,No
,,Rightside_window,Distracted Behavior,6:43,7:08,6,No
,,Rightside_window,Distracted Behavior,7:14,7:30,10,No
,,Rightside_window,Distracted Behavior,7:38,8:03,13,No
,,Rightside_window,Distracted Behavior,8:09,8:29,5,No
,,Rightside_window,Distracted Behavior,8:37,8:56,15,No
,Rear_view_user_id_56306_2,Rear_view,Distracted Behavior,0:00,0:07,NA,No
,,Rear_view,Distracted Behavior,0:12,0:39,3,No
,,Rear_view,Distracted Behavior,0:46,1:03,17,No
,,Rear_view,Distracted Behavior,1:06,1:32,12,No
,,Rear_view,Distracted Behavior,1:39,2:05,4,No
,,Rear_view,Distracted Behavior,2:13,2:35,9,No
,,Rear_view,Distracted Behavior,2:40,3:12,0,No
,,Rear_view,Distracted Behavior,3:18,3:40,2,No
,,Rear_view,Distracted Behavior,3:48,4:06,14,No
,,Rear_view,Distracted Behavior,4:17,4:41,7,No
,,Rear_view,Distracted Behavior,4:50,5:12,11,No
,,Rear_view,Distracted Behavior,5:18,5:39,8,No
,,Rear_view,Distracted Behavior,5:48,6:10,1,No
,,Rear_view,Distracted Behavior,6:16,6:38,16,No
,,Rear_view,Distracted Behavior,6:43,7:08,6,No
,,Rear_view,Distracted Behavior,7:14,7:30,10,No
,,Rear_view,Distracted Behavior,7:38,8:03,13,No
,,Rear_view,Distracted Behavior,8:09,8:29,5,No
,,Rear_view,Distracted Behavior,8:37,8:56,15,No
,Rear_view_user_id_56306_3,Rear_view,Distracted Behavior,0:00,0:09,NA,Glass
,,Rear_view,Distracted Behavior,0:10,0:33,3,Glass
,,Rear_view,Distracted Behavior,0:43,0:58,17,Glass
,,Rear_view,Distracted Behavior,1:08,1:26,12,Glass
,,Rear_view,Distracted Behavior,1:36,2:01,4,Glass
,,Rear_view,Distracted Behavior,2:07,2:34,9,Glass
,,Rear_view,Distracted Behavior,2:44,3:10,0,Glass
,,Rear_view,Distracted Behavior,3:16,3:36,2,Glass
,,Rear_view,Distracted Behavior,3:45,4:04,14,Glass
,,Rear_view,Distracted Behavior,4:13,4:39,7,Glass
,,Rear_view,Distracted Behavior,4:47,5:08,11,Glass
,,Rear_view,Distracted Behavior,5:16,5:36,8,Glass
,,Rear_view,Distracted Behavior,5:44,6:05,1,Glass
,,Rear_view,Distracted Behavior,6:15,6:35,16,Glass
,,Rear_view,Distracted Behavior,6:44,7:04,6,Glass
,,Rear_view,Distracted Behavior,7:10,7:27,10,Glass
,,Rear_view,Distracted Behavior,7:35,7:59,13,Glass
,,Rear_view,Distracted Behavior,8:06,8:28,5,Glass
,,Rear_view,Distracted Behavior,8:34,8:53,15,Glass
,Dashboard_user_id_56306_2,Dashboard,Distracted Behavior,0:00,0:07,NA,No
,,Dashboard,Distracted Behavior,0:12,0:39,3,No
,,Dashboard,Distracted Behavior,0:46,1:03,17,No
,,Dashboard,Distracted Behavior,1:06,1:32,12,No
,,Dashboard,Distracted Behavior,1:39,2:05,4,No
,,Dashboard,Distracted Behavior,2:13,2:35,9,No
,,Dashboard,Distracted Behavior,2:40,3:12,0,No
,,Dashboard,Distracted Behavior,3:18,3:40,2,No
,,Dashboard,Distracted Behavior,3:48,4:06,14,No
,,Dashboard,Distracted Behavior,4:17,4:41,7,No
,,Dashboard,Distracted Behavior,4:50,5:12,11,No
,,Dashboard,Distracted Behavior,5:18,5:39,8,No
,,Dashboard,Distracted Behavior,5:48,6:10,1,No
,,Dashboard,Distracted Behavior,6:16,6:38,16,No
,,Dashboard,Distracted Behavior,6:43,7:08,6,No
,,Dashboard,Distracted Behavior,7:14,7:30,10,No
,,Dashboard,Distracted Behavior,7:38,8:03,13,No
,,Dashboard,Distracted Behavior,8:09,8:29,5,No
,,Dashboard,Distracted Behavior,8:37,8:56,15,No
,Dashboard_user_id_56306_3,Dashboard,Distracted Behavior,0:00,0:09,NA,Glass
,,Dashboard,Distracted Behavior,0:10,0:33,3,Glass
,,Dashboard,Distracted Behavior,0:43,0:58,17,Glass
,,Dashboard,Distracted Behavior,1:08,1:26,12,Glass
,,Dashboard,Distracted Behavior,1:36,2:01,4,Glass
,,Dashboard,Distracted Behavior,2:07,2:34,9,Glass
,,Dashboard,Distracted Behavior,2:44,3:10,0,Glass
,,Dashboard,Distracted Behavior,3:16,3:36,2,Glass
,,Dashboard,Distracted Behavior,3:45,4:04,14,Glass
,,Dashboard,Distracted Behavior,4:13,4:39,7,Glass
,,Dashboard,Distracted Behavior,4:47,5:08,11,Glass
,,Dashboard,Distracted Behavior,5:16,5:36,8,Glass
,,Dashboard,Distracted Behavior,5:44,6:05,1,Glass
,,Dashboard,Distracted Behavior,6:15,6:35,16,Glass
,,Dashboard,Distracted Behavior,6:44,7:04,6,Glass
,,Dashboard,Distracted Behavior,7:10,7:27,10,Glass
